"","X","director_name","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_2_name","actor_1_facebook_likes","gross","actor_1_name","movie_title","cast_total_facebook_likes","actor_3_name","facenumber_in_poster","plot_keywords","budget","title_year","actor_2_facebook_likes","imdb_score","Action","Adventure","Fantasy","Sci.Fi","Thriller","Romance","Animation","Comedy","Family","Musical","Mystery","Western","Drama","History","Sport","Crime","Horror","War","Biography","Music","Documentary","Film.Noir","assassin","spy","scientist","vampire","vomiting","king","hospital","writer","student","future","fight","teenager","president","sex","terrorist","train","best.friend","college","serial.killer","hotel","christmas","secret","female.protagonist","battle","box.office.flop","rescue","cia","detective","lawyer","escape","party","wedding","island","marriage","dog","friendship","drugs","money","revenge","prison","school","boy","fbi","alien","high.school","new.york.city","police","death","murder","friend","love","profit"
"207",207,"Joel Schumacher",183,125,541,409,"Vivica A. Fox",920,107285004,"Michael Gough","Batman & Robin ",2699,"John Glover",3,"c(""butler"", ""critically bashed"", ""cure"", ""freeze"", ""gotham"")",1.25e+08,1997,890,3.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141719968
"208",208,"Ron Howard",175,110,2000,636,"T.J. Thyne",1000,260031035,"Clint Howard","How the Grinch Stole Christmas ",4146,"Molly Shannon",0,"c(""box office hit"", ""christmas"", ""materialism"", ""public humiliation"", ""snowflake"")",1.23e+08,2000,722,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11407345528455
"209",209,"Roland Emmerich",239,124,776,812,"Dennis Quaid",15000,186739919,"Jake Gyllenhaal","The Day After Tomorrow ",20553,"Sela Ward",0,"c(""climate"", ""end of the world"", ""global warming"", ""natural disaster"", ""weather"")",1.25e+08,2004,2000,6.4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493919352
"210",210,"John Woo",237,123,610,653,"Dougray Scott",10000,215397307,"Tom Cruise","Mission: Impossible II ",11930,"Richard Roxburgh",0,"c(""cure"", ""mission"", ""terrorist"", ""thief"", ""virus"")",1.25e+08,2000,794,6.1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.723178456
"211",211,"Wolfgang Petersen",231,130,249,461,"Mary Elizabeth Mastrantonio",784,182618434,"Karen Allen","The Perfect Storm ",2684,"Bob Gunton",0,"c(""death"", ""fish"", ""fishing"", ""sea"", ""storm"")",1.4e+08,2000,638,6.4,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.304417385714286
"212",212,"Tim Story",262,92,167,702,"Ioan Gruffudd",11000,131920333,"Chris Evans","Fantastic 4: Rise of the Silver Surfer ",15302,"Andre Braugher",3,"c(""fantastic four"", ""space"", ""strong female character"", ""strong female lead"", ""superheroine"")",1.3e+08,2007,2000,5.6,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147717923076922
"214",214,"Mark Steven Johnson",276,123,160,402,"Matt Long",12000,115802596,"Nicolas Cage","Ghost Rider ",14017,"Peter Fonda",1,"c(""blackheart"", ""devil"", ""father"", ""ghost"", ""mephistopheles"")",1.1e+08,2007,701,5.2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0527508727272727
"215",215,"Paul Greengrass",267,123,521,265,"Riz Ahmed",13000,108521835,"Matt Damon","Jason Bourne ",13752,"Ato Essandoh",0,"c(""black ops"", ""chase"", ""cia"", ""cia agent"", ""repeated scene"")",1.2e+08,2016,365,7.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.095651375
"216",216,"McG",102,107,368,1000,"Bernie Mac",2000,100685880,"Demi Moore","Charlie's Angels: Full Throttle ",4046,"Justin Theroux",0,"c(""fbi"", ""murder"", ""ring"", ""witness protection"", ""witness protection program"")",1.2e+08,2003,1000,4.8,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.160951
"219",219,"Neill Blomkamp",476,109,662,1000,"Sharlto Copley",13000,93050117,"Matt Damon","Elysium ",17689,"Alice Braga",0,"c(""christ figure"", ""class differences"", ""messiah"", ""saviour"", ""social commentary"")",1.15e+08,2013,2000,6.6,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.190868547826087
"220",220,"David Twohy",207,134,123,567,"Alexa Davalos",14000,57637485,"Vin Diesel","The Chronicles of Riddick ",17159,"Christina Cox",0,"c(""bounty hunter"", ""escape"", ""necromonger"", ""planet"", ""warrior"")",1.05e+08,2004,850,6.7,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.451071571428571
"221",221,"José Padilha",492,117,294,1000,"Abbie Cornish",10000,58607007,"Gary Oldman","RoboCop ",14161,"Jennifer Ehle",0,"c(""law enforcement"", ""police"", ""robocop"", ""robot"", ""technology"")",1e+08,2014,2000,6.2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.41392993
"223",223,"James L. Brooks",168,121,274,157,"Domenick Lombardozzi",273,30212620,"Shelley Conn","How Do You Know ",993,"Teyonah Parris",4,"c(""embarrassment"", ""falling in love"", ""love"", ""love triangle"", ""revelation"")",1.2e+08,2010,216,5.3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.748228166666667
"224",224,"James Mangold",283,117,446,877,"Marc Blucas",10000,76418654,"Tom Cruise","Knight and Day ",12731,"Jordi Mollà",0,"c(""chase"", ""fbi"", ""garage"", ""spy"", ""surveillance"")",1.17e+08,2010,973,6.3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.346849111111111
"225",225,"Joseph Kosinski",539,124,364,1000,"Tom Cruise",11000,89021735,"Morgan Freeman","Oblivion ",22004,"Zoë Bell",0,"c(""cabin in the woods"", ""drone"", ""flying through a thunderstorm"", ""post apocalypse"", ""sex in a pool"")",1.2e+08,2013,10000,7,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.258152208333333
"229",229,"James Mangold",440,138,446,929,"Tao Okamoto",20000,132550960,"Hugh Jackman","The Wolverine ",23755,"Rila Fukushima",1,"c(""healing power"", ""marvel comics"", ""mecha"", ""regeneration"", ""self healing"")",1.2e+08,2013,992,6.7,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104591333333333
"232",232,"John Woo",152,153,610,617,"Roger Willie",12000,40911830,"Nicolas Cage","Windtalkers ",15046,"Noah Emmerich",0,"c(""code"", ""duty"", ""steel helmet"", ""u.s. marine"", ""u.s. soldier"")",1.15e+08,2002,836,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.644244956521739
"234",234,"Jonathan Liebesman",348,101,473,429,"Danny Woodburn",833,190871240,"Noel Fisher","Teenage Mutant Ninja Turtles ",2690,"Jeremy Howard",0,"c(""18 wheeler"", ""mutant"", ""ninja"", ""sewer"", ""turtle"")",1.25e+08,2014,809,5.9,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52696992
"236",236,"Roger Donaldson",93,108,79,268,"Grant Heslov",650,67155742,"Jamie Renée Smith","Dante's Peak ",1569,"Tzi Ma",1,"c(""ash"", ""escape"", ""lava"", ""mayor"", ""volcano"")",1.16e+08,1997,293,5.8,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.421071189655172
"237",237,"Josh Trank",369,100,128,78,"Reg E. Cathey",596,56114221,"Tim Blake Nelson","Fantastic Four ",1261,"Tim Heidecker",3,"c(""box office flop"", ""critically bashed"", ""portal"", ""teleportation"", ""troubled production"")",1.2e+08,2015,360,4.3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.532381491666667
"238",238,"Shawn Levy",179,108,189,1000,"Rami Malek",49000,250863268,"Robin Williams","Night at the Museum ",55486,"Steve Coogan",2,"c(""chaos"", ""museum"", ""museum of natural history"", ""night watchman"", ""watchman"")",1.1e+08,2006,3000,6.4,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28057516363636
"239",239,"Brad Peyton",358,114,62,884,"Ioan Gruffudd",12000,155181732,"Dwayne Johnson","San Andreas ",16718,"Archie Panjabi",0,"c(""disaster movie"", ""earthquake"", ""journey"", ""natural disaster"", ""san andreas fault"")",1.1e+08,2015,2000,6.1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410743018181818
"240",240,"Roger Spottiswoode",160,119,55,387,"Colin Salmon",811,125332007,"Vincent Schiavelli","Tomorrow Never Dies ",2958,"Joe Don Baker",3,"c(""ex boyfriend ex girlfriend relationship"", ""media tycoon"", ""megalomaniac"", ""official james bond series"", ""world war three"")",1.1e+08,1997,766,6.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139381881818182
"241",241,"Roland Emmerich",192,142,776,1000,"Adam Baldwin",13000,113330342,"Heath Ledger","The Patriot ",19454,"Tom Wilkinson",1,"c(""american revolution"", ""british"", ""french"", ""hero"", ""standoff"")",1.1e+08,2000,2000,7.1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302758363636364
"243",243,"Doug Liman",233,126,218,322,"Angelina Jolie Pitt",11000,186336103,"Brad Pitt","Mr. & Mrs. Smith ",22722,"Stephanie March",2,"c(""assassin"", ""marriage"", ""secret agent"", ""suburb"", ""target"")",1.2e+08,2005,11000,6.5,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552800858333333
"244",244,"Robert Schwentke",263,119,124,1000,"Theo James",14000,129995817,"Kate Winslet","Insurgent ",22622,"Mekhi Phifer",0,"c(""action heroine"", ""falling from height"", ""mind control"", ""trainhopping"", ""truth serum"")",1.1e+08,2015,5000,6.3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181780154545454
"245",245,"Martin Scorsese",267,170,17000,827,"Adam Scott",29000,102608827,"Leonardo DiCaprio","The Aviator ",34582,"Frances Conroy",0,"c(""1920s"", ""aviation"", ""fight"", ""spruce goose"", ""test flight"")",1.1e+08,2004,3000,7.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0671924818181818
"247",247,"Michel Gondry",447,119,1000,741,"Tom Wilkinson",11000,98780042,"Christoph Waltz","The Green Hornet ",13391,"Chad L. Coleman",0,"c(""heir"", ""kung fu"", ""party"", ""playboy"", ""superhero"")",1.2e+08,2011,1000,5.8,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.176832983333333
"248",248,"Noam Murro",366,102,263,1000,"Sullivan Stapleton",6000,106369117,"Eva Green","300: Rise of an Empire ",10583,"Peter Mensah",0,"c(""army"", ""commander"", ""female rear nudity"", ""greek"", ""navy"")",1.1e+08,2014,1000,6.2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0330080272727272
"249",249,"Raja Gosnell",172,103,67,111,"Tim Gunn",383,142614158,"Mahadeo Shivraj","The Smurfs ",692,"Madison McKinley",3,"c(""blue"", ""new york"", ""new york city"", ""no opening credits"", ""smurf"")",1.1e+08,2011,113,5.5,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.296492345454545
"251",251,"Robert Schwentke",181,120,124,943,"Theo James",6000,66002193,"Naomi Watts","Allegiant ",12452,"Zoë Kravitz",3,"c(""based on young adult novel"", ""dystopia"", ""genetic experimentation"", ""strong female character"", ""strong female lead"")",1.1e+08,2016,5000,5.8,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.399980063636364
"252",252,"Shawn Levy",327,127,189,544,"Torey Michael Adkins",20000,85463309,"Hugh Jackman","Real Steel ",22254,"Olga Fonda",1,"c(""arena"", ""boxing"", ""boxing movie"", ""robot"", ""robot battle"")",1.1e+08,2011,929,7.1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223060827272727
"254",254,"Jan de Bont",79,121,101,202,"Temuera Morrison",673,48068396,"Jason Patric","Speed 2: Cruise Control ",2027,"Lois Chiles",0,"c(""collision course"", ""computer"", ""cruise"", ""diamonds"", ""ship run aground"")",1.6e+08,1997,368,3.7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.699572525
"255",255,"Gavin Hood",326,114,151,430,"Moises Arias",11000,61656849,"Harrison Ford","Ender's Game ",12908,"Aramis Knight",4,"c(""alien"", ""future"", ""manipulation"", ""simulation"", ""training"")",1.1e+08,2013,635,6.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.439483190909091
"256",256,"Len Wiseman",354,129,235,297,"Jonathan Sadowski",13000,134520804,"Bruce Willis","Live Free or Die Hard ",13961,"Cyril Raffaelli",1,"c(""fbi"", ""hacker"", ""independence day"", ""police"", ""terrorist"")",1.1e+08,2007,300,7.2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.2229164
"258",258,"Frank Coraci",188,120,153,447,"Steve Coogan",1000,24004159,"Jim Broadbent","Around the World in 80 Days ",3175,"Cécile De France",0,"c(""19th century"", ""around the world"", ""inventor"", ""martial arts"", ""train"")",1.1e+08,2004,1000,5.8,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.781780372727273
"261",261,"Alex Proyas",225,115,295,466,"Bruce Greenwood",10000,144795350,"Will Smith","I, Robot ",12068,"Chi McBride",1,"c(""humanoid robot"", ""man versus machine"", ""prosthetic limb"", ""robot as pathos"", ""robot vs. robot"")",1.2e+08,2004,981,7.1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206627916666667
"264",264,"Ron Clements",228,97,63,525,"Jenifer Lewis",852,104374107,"Oprah Winfrey","The Princess and the Frog ",2480,"Anika Noni Rose",0,"c(""amphibian"", ""dream"", ""frog"", ""frog prince"", ""waitress"")",1.05e+08,2009,578,7.1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00596088571428577
"268",268,"Dominic Sena",175,127,57,3000,"Angelina Jolie Pitt",12000,101643008,"Nicolas Cage","Gone in Sixty Seconds ",29069,"Robert Duvall",1,"c(""auto theft"", ""brother"", ""car"", ""theft"", ""thief"")",9e+07,2000,11000,6.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129366755555556
"270",270,"Steven Spielberg",252,145,14000,533,"Frank Grillo",10000,132014112,"Tom Cruise","Minority Report ",12546,"Jessica Capshaw",0,"c(""future"", ""murder"", ""neo noir"", ""washington d.c."", ""year 2054"")",1.02e+08,2002,798,7.7,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.294256
"272",272,"Martin Campbell",400,144,258,834,"Tobias Menzies",6000,167007184,"Eva Green","Casino Royale ",9125,"Ivana Milicevic",1,"c(""casino"", ""espionage"", ""free running"", ""james bond"", ""terrorist"")",1.5e+08,2006,1000,8,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113381226666667
"273",273,"Tim Burton",230,119,13000,567,"Estella Warren",1000,180011740,"Cary-Hiroyuki Tagawa","Planet of the Apes ",2776,"Erick Avari",0,"c(""astronaut"", ""cage"", ""planet"", ""wilhelm scream"", ""year 2029"")",1e+08,2001,658,5.7,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8001174
"278",278,"Tony Scott",267,106,12000,385,"Ramon Rodriguez",18000,65452312,"Denzel Washington","The Taking of Pelham 1 2 3 ",19906,"Michael Rispoli",1,"c(""hijack"", ""hostage"", ""ransom"", ""subway"", ""train"")",1e+08,2009,464,6.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.34547688
"280",280,"Adam McKay",265,116,285,107,"Will Ferrell",12000,119219978,"Dwayne Johnson","The Other Guys ",20233,"Derek Jeter",2,"c(""capitalist"", ""detective"", ""investigation"", ""new york city"", ""police"")",1e+08,2010,8000,6.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.19219978
"281",281,"Chuck Russell",81,115,55,383,"James Coburn",1000,101228120,"Vanessa Williams","Eraser ",3454,"Roma Maffia",1,"c(""assassination attempt"", ""corporate crime"", ""rogue agent"", ""witness"", ""witness protection program"")",1e+08,1996,773,6.1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122812000000001
"282",282,"Quentin Tarantino",765,165,16000,265,"Christoph Waltz",29000,162804648,"Leonardo DiCaprio","Django Unchained ",40978,"Ato Essandoh",1,"c(""dynamite"", ""historically inaccurate"", ""ku klux klan"", ""n word"", ""slavery"")",1e+08,2012,11000,8.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62804648
"285",285,"Simon West",383,103,165,13000,"Sylvester Stallone",26000,85017401,"Jason Statham","The Expendables 2 ",57881,"Bruce Willis",3,"c(""church"", ""hostage"", ""mine"", ""plutonium"", ""revenge"")",9.2e+07,2012,13000,6.7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0758978152173913
